fieldType,Product Name,Brand,description,productImageUrl,Category,Sub Category,Prod Code,sku,ribbon,price,surcharge,visible,discountMode,discountValue,inventory,weight,Unit Value,Sale Price,Base Price,GST Rate,GST Amount,Filter 1,Filter 1 Type,Filter 1 Value,additionalInfoTitle1,Filter 2,Filter 2 Type,Filter 2 Value,Filter 3,Filter 3 Type,Filter 3 Value
Product,Century Ply Starline Laminate Fancy Marmor 84852 G 2,Century Ply,"The Centuryply Starline Laminate Fancy Marmor 84852 G 2 is a premium quality laminate that combines style and durability. With a thickness of .8mm, it is uniformly thick and crack-resistant, ensuring long-lasting performance. It is stain and steam-resistant, making it easy to maintain. The laminate also has a glossy finish that adds to its elegance and appeal. Choose this laminate to enhance the look of your interiors while enjoying its practical benefits.",https://www.centuryply.com/centurylaminates/productImage/fancy_marmor.jpg,Wooden Material,Laminate,Fancy Marmor 84852 G 2,LMNTGLSFAMOR84852G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Modern Marmor 84851 G,Century Ply,"Introducing the Centuryply Starline Laminate Modern Marmor 84851 G, the perfect addition to any modern home. With Virokill technology, this laminate is designed to keep surfaces safe and hygienic by physically rupturing and killing microbes. At a thickness of .8mm, this laminate is durable and long-lasting, while the stone pattern and luxury finish add a touch of elegance to any room. Upgrade your home with the Centuryply Starline Laminate Modern Marmor 84851 G.",https://www.centuryply.com/centurylaminates/productImage/modern_marmor.jpg,Wooden Material,Laminate,Modern Marmor 84851 G,LMNTGLSMOMOR84851G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Sussex Stone 84835 G 2,Century Ply,"The Centuryply Starline Laminate Sussex Stone 84835 G 2 is a part of the Gloss collection from StarLine, designed to add a touch of glamour to any interior space. With a width of 8mm, it offers durability and strength while also being easy to maintain. The Stone Finish provides a sophisticated and elegant look that seamlessly blends in with any decor. This laminate is an excellent choice for high-traffic areas that are prone to dirt and stains, making it an ideal choice for both residential and commercial applications.",https://www.centuryply.com/centurylaminates/productImage/starline-84835-gl-medium.jpg,Wooden Material,Laminate,Sussex Stone 84835 G 2,LMNTGLSSUSNE84835G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Malm Stone 84836 G 2,Century Ply,"Introducing the Centuryply Starline Laminate Malm Stone 84836 G 2, the perfect addition to your home decor. This laminate boasts of its crack-resistant and uniform thickness features, ensuring its durability for years to come. It also comes with stain and steam resistance, making it easy to maintain. The glossy finish of this laminate, with a width of 0.8 mm, adds a touch of elegance to any space. Choose this laminate for its quality and unmatched beauty.",https://www.centuryply.com/centurylaminates/designlibrary/image/84836-GL-New.jpg,Wooden Material,Laminate,Malm Stone 84836 G 2,LMNTGLSMASNE84836G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Fossil Woodstone 84837,Century Ply,"Introducing the Centuryply Starline Laminate Fossil Woodstone 84837, a stunning addition to any modern interior space. Featuring a contemporary stone pattern with a glossy finish, this laminate is both durable and visually appealing. What's more, it is infused with Virokill technology, which actively kills microbes and keeps surfaces hygienic. With a width of 0.8mm, this laminate is perfect for a wide range of applications, from countertops to furniture. Upgrade your space with the Centuryply Starline Laminate Fossil Woodstone 84837 today",https://www.centuryply.com/centurylaminates/productImage/starline-84837-medium.jpg,Wooden Material,Laminate,Fossil Woodstone 84837 G 2,LMNTGLSFOWNE84837G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Artistic Plaster 83825,Century Ply,"The Centuryply Starline Laminate in Artistic Plaster 83825 is a stunning addition to any interior design project. With a thickness of 0.8mm, this glossy finish laminate boasts a stone pattern that is sure to catch the eye. Not only is it aesthetically pleasing, but this product is also crack-resistant, has uniform thickness, and is stain and steam-resistant, ensuring its durability for years to come. Choose this laminate for a sophisticated and practical solution to your design needs.",https://www.centuryply.com/centurylaminates/productImage/starline-83825-gl-medium.jpg,Wooden Material,Laminate,Artistic Plaster 83825 G 2,LMNTGLSARPER83825G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Rustic Plaster 83826,Century Ply,"Centuryply Starline Laminate in Rustic Plaster 83826 is the perfect addition to your home decor. With a length of 8 ft and a width of 4 ft, this laminate is made with a thickness of 0.8 mm, making it sturdy and durable. The glossy finish and stone pattern give it a stylish and modern look, making it perfect for any contemporary home. This laminate is easy to maintain and clean, making it an ideal choice for high-traffic areas.",https://www.centuryply.com/centurylaminates/productImage/starline-83826-mt-medium.jpg,Wooden Material,Laminate,Rustic Plaster 83826 G 2,LMNTGLSRUPER83826G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Blood Red 80195,Century Ply,"The Centuryply Starline Laminate Blood Red 80195 is a stunning and durable laminate that is perfect for adding a pop of color to any space. With a thickness of 0.8 mm, it is sturdy and built to last. The gloss finish adds a sleek and modern touch to the solid color design. As part of CenturyLaminates' collection, you can trust the quality and craftsmanship of this product. Upgrade your space with the Centuryply Starline Laminate Blood Red 80195.",https://www.centuryply.com/centurylaminates/designlibrary/image/80195.jpg,Wooden Material,Laminate,Blood Red 80195 G 2,LMNTGLSBLRED80195G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Frosty White 80113 G2,Century Ply,"The Centuryply Starline Laminate Frosty White 80113 G2 is a high-quality laminate option for your home or office. It boasts a thickness of 0.8mm, making it durable and long-lasting. The texture finish adds a subtle yet elegant touch to any space. The graphic pattern adds interest and dimension to your surfaces. Additionally, it is equipped with Virokill technology that actively fights against microbes, making it a safe and hygienic option for your home or office.",https://www.centuryply.com/centurylaminates/productImage/frosty-white-80113-gloss.jpg,Wooden Material,Laminate,Frosty White 80113 G 2,LMNTGLSFRWTE80113G2,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
Product,Century Ply Starline Laminate Yellow 83203 G,Century Ply,"Introducing the Centuryply Starline Laminate Yellow 83203 G, a stunning addition to any space. With a glossy finish and solid color texture, it boasts a luxurious and sophisticated appearance. The design features a glossy pattern that is sure to impress. This product is crack resistant, has a uniform thickness, and is both stain and steam resistant, making it a durable and practical choice for any room. Upgrade your decor with this beautiful and reliable laminate.",https://www.centuryply.com/centurylaminates/productImage/starline-83203-medium.jpg,Wooden Material,Laminate,Yellow 83203 G,LMNTGLSYEYOW83203G,,1327.5,,TRUE,PERCENT,15,InStock,,Sheet,900,,,,Thickness,DROP_DOWN,0.8mm,,Finish,DROP_DOWN,Gloss,,DROP_DOWN,
